objectID,title,artist,department,objectDate,medium,image_path
625885,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625885.jpg
625880,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625880.jpg
625894,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625894.jpg
625673,Overseer Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625673.jpg
625694,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625694.jpg
625685,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625685.jpg
625667,Overseer Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625667.jpg
625682,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625682.jpg
625672,Overseer Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625672.jpg
625681,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625681.jpg
625699,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625699.jpg
625677,Overseer Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625677.jpg
625679,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625679.jpg
625670,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625670.jpg
625693,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625693.jpg
625686,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625686.jpg
625687,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625687.jpg
625675,Overseer Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625675.jpg
625690,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625690.jpg
625705,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625705.jpg
625700,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625700.jpg
625696,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625696.jpg
625706,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625706.jpg
625678,Overseer Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625678.jpg
625668,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625668.jpg
625674,Overseer Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625674.jpg
625701,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625701.jpg
625702,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625702.jpg
625676,Overseer Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625676.jpg
625695,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625695.jpg
625669,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625669.jpg
625689,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625689.jpg
625688,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625688.jpg
625698,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625698.jpg
625684,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625684.jpg
625703,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625703.jpg
625697,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625697.jpg
625704,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625704.jpg
625683,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625683.jpg
625671,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625671.jpg
625889,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625889.jpg
625930,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625930.jpg
625918,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625918.jpg
625934,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625934.jpg
625937,Worker Shabti of Nauny,,Egyptian Art,ca. 1050 B.C.,Faience,data\raw\images\625937.jpg
